timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffPct,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,position,date,name,team,opponent,birthdate,id,aged,pim,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,shutout
1248,1,0,2,0,0,0,0,,0,0,1,0,0,0,2,1,884,13,351,D,2023-10-10,Ryan McDonagh,NSH,TBL,1989-06-13,ID8474151,12537,0,0,0,0,0,0,0,0,,,,,,0
3436,0,0,33,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,G,2023-10-10,Juuse Saros,NSH,TBL,1995-04-19,ID8477424,10401,0,29,8,0,21,0,23,10,L,87.87878787878788,80.0,,91.30434782608695,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Michael McCarron,NSH,TBL,1995-03-07,ID8477446,10444,0,0,0,0,0,0,0,0,,,,,,0
801,0,0,1,2,0,0,2,,0,0,1,0,0,0,0,1,687,0,114,D,2023-10-10,Jeremy Lauzon,NSH,TBL,1997-04-28,ID8478468,9661,0,0,0,0,0,0,0,0,,,,,,0
929,0,0,2,1,0,0,0,71.43,5,7,0,0,0,0,0,0,634,293,2,C,2023-10-10,Cody Glass,NSH,TBL,1999-04-01,ID8479996,8958,0,0,0,0,0,0,0,0,,,,,,0
823,0,1,2,0,0,0,0,33.33,2,6,0,0,0,0,0,1,748,75,0,C,2023-10-10,Juuso Parssinen,NSH,TBL,2001-02-01,ID8481704,8286,0,0,0,0,0,0,0,0,,,,,,0
1319,1,1,4,0,0,0,0,36.67,11,30,1,1,0,0,2,0,851,310,158,C,2023-10-10,Ryan O'Reilly,NSH,TBL,1991-02-07,ID8475158,11933,0,0,0,0,0,0,0,0,,,,,,0
474,0,0,1,2,0,0,0,,0,0,0,0,0,0,0,0,413,0,61,LW,2023-10-10,Kiefer Sherwood,NSH,TBL,1995-03-31,ID8480748,10420,0,0,0,0,0,0,0,0,,,,,,0
1278,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,-1,962,301,15,D,2023-10-10,Tyson Barrie,NSH,TBL,1991-07-26,ID8475197,11764,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Dante Fabbro,NSH,TBL,1998-06-20,ID8479371,9243,0,0,0,0,0,0,0,0,,,,,,0
721,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,0,590,131,0,RW,2023-10-10,Luke Evangelista,NSH,TBL,2002-02-21,ID8482146,7901,0,0,0,0,0,0,0,0,,,,,,0
810,1,0,0,0,0,1,2,,0,0,0,1,0,0,1,0,705,105,0,C,2023-10-10,Philip Tomasino,NSH,TBL,2001-07-28,ID8481577,8109,0,0,0,0,0,0,0,0,,,,,,0
1289,1,0,5,0,0,0,0,15.38,2,13,2,0,0,0,1,0,976,313,0,C,2023-10-10,Connor Bedard,CHI,PIT,2005-07-17,ID8484144,6659,0,0,0,0,0,0,0,0,,,,,,0
906,0,0,2,1,0,0,2,,0,0,0,0,0,0,1,1,867,6,33,D,2023-10-10,Wyatt Kaiser,CHI,PIT,2002-07-31,ID8482176,7741,0,0,0,0,0,0,0,0,,,,,,0
892,1,1,2,1,0,0,0,,0,0,1,0,0,0,2,2,593,158,141,LW,2023-10-10,Nick Foligno,CHI,PIT,1987-10-31,ID8473422,13128,0,0,0,0,0,0,0,0,,,,,,0
1102,0,1,4,1,0,0,0,33.33,3,9,2,0,0,0,0,0,828,274,0,C,2023-10-10,Ryan Donato,CHI,PIT,1996-04-09,ID8477987,10045,0,0,0,0,0,0,0,0,,,,,,0
838,0,0,0,3,0,0,0,,0,0,0,0,0,0,1,0,790,0,48,D,2023-10-10,Jarred Tinordi,CHI,PIT,1992-02-20,ID8475797,11555,0,0,0,0,0,0,0,0,,,,,,0
3600,0,0,41,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,G,2023-10-10,Petr Mrazek,CHI,PIT,1992-02-14,ID8475852,11561,0,39,4,0,35,0,37,4,W,95.1219512195122,100.0,,94.5945945945946,0
1008,2,0,2,1,0,0,0,,0,0,0,0,0,0,0,2,707,301,0,RW,2023-10-10,Corey Perry,CHI,PIT,1985-05-16,ID8470621,14026,0,0,0,0,0,0,0,0,,,,,,0
610,1,0,1,0,0,0,0,,0,0,1,0,0,0,0,1,585,25,0,C,2023-10-10,Andreas Athanasiou,CHI,PIT,1994-08-06,ID8476960,10657,0,0,0,0,0,0,0,0,,,,,,0
607,0,0,1,0,0,0,0,,0,0,0,0,0,0,2,-1,454,0,153,LW,2023-10-10,Brandon Tanev,SEA,VGK,1991-12-31,ID8479293,11606,0,0,0,0,0,0,0,0,,,,,,0
987,0,0,2,0,0,0,0,,0,0,0,1,0,0,1,-2,677,310,0,LW,2023-10-10,Andre Burakovsky,SEA,VGK,1995-02-09,ID8477444,10470,0,0,0,0,0,0,0,0,,,,,,0
1472,1,0,4,0,0,0,2,,0,0,0,0,0,0,1,-1,1269,80,123,D,2023-10-10,Kris Letang,PIT,CHI,1987-04-24,ID8471724,13318,0,0,0,0,0,0,0,0,,,,,,0
747,0,0,0,9,0,0,2,,0,0,1,0,0,0,1,1,743,4,0,C,2023-10-10,Paul Cotter,VGK,SEA,1999-11-16,ID8481032,8729,0,0,0,0,0,0,0,0,,,,,,0
1113,1,1,2,0,0,0,0,69.23,9,13,0,0,0,0,1,2,625,252,236,C,2023-10-10,Chandler Stephenson,VGK,SEA,1994-04-22,ID8476905,10763,0,0,0,0,0,0,0,0,,,,,,0
690,0,0,0,0,0,0,0,,0,0,0,2,0,0,1,-1,682,0,8,D,2023-10-10,Pierre-Olivier Joseph,PIT,CHI,1999-07-01,ID8480058,8867,0,0,0,0,0,0,0,0,,,,,,0
1017,0,0,4,1,0,0,0,,0,0,0,0,0,0,1,1,823,79,115,RW,2023-10-10,Reilly Smith,PIT,CHI,1991-04-01,ID8475191,11880,0,0,0,0,0,0,0,0,,,,,,0
692,0,0,0,2,0,0,0,,0,0,1,0,0,0,0,0,397,0,295,D,2023-10-10,Chad Ruhwedel,PIT,CHI,1990-05-07,ID8477244,12209,0,0,0,0,0,0,0,0,,,,,,0
1017,0,0,2,4,0,0,0,50.0,1,2,0,0,0,0,1,0,856,161,0,RW,2023-10-10,Rickard Rakell,PIT,CHI,1993-05-05,ID8476483,11115,0,0,0,0,0,0,0,0,,,,,,0
932,0,1,3,1,0,0,0,,0,0,1,0,0,0,0,1,635,297,0,RW,2023-10-10,Jonathan Marchessault,VGK,SEA,1990-12-27,ID8476539,11975,0,0,0,0,0,0,0,0,,,,,,0
787,1,0,1,0,0,0,2,80.0,8,10,2,1,0,0,2,0,658,0,129,C,2023-10-10,Lars Eller,PIT,CHI,1989-05-08,ID8474189,12573,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Ryan Shea,PIT,CHI,1997-02-11,ID8478854,9737,0,0,0,0,0,0,0,0,,,,,,0
1224,0,0,0,1,0,0,0,,0,0,0,0,0,0,4,-1,918,2,304,D,2023-10-10,Ryan Graves,PIT,CHI,1995-05-21,ID8477435,10369,0,0,0,0,0,0,0,0,,,,,,0
3450,0,0,35,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,G,2023-10-10,Tristan Jarry,PIT,CHI,1995-04-29,ID8477465,10391,0,32,5,1,26,1,29,5,L,91.42857142857143,100.0,100.0,89.65517241379311,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,John Ludvig,PIT,CHI,2000-08-02,ID8481206,8469,0,0,0,0,0,0,0,0,,,,,,0
668,0,0,0,0,0,0,2,,0,0,0,0,0,0,1,0,495,0,173,LW,2023-10-10,Matt Nieto,PIT,CHI,1992-11-05,ID8476442,11296,0,0,0,0,0,0,0,0,,,,,,0
1179,0,0,6,0,0,0,0,76.92,10,13,3,2,0,0,1,-1,1018,161,0,C,2023-10-10,Evgeni Malkin,PIT,CHI,1986-07-31,ID8471215,13585,0,0,0,0,0,0,0,0,,,,,,0
631,0,0,2,2,0,0,0,,0,0,0,0,0,0,0,-1,554,77,0,C,2023-10-10,Jansen Harkins,PIT,CHI,1997-05-23,ID8478424,9636,0,0,0,0,0,0,0,0,,,,,,0
1564,0,0,2,1,0,0,0,,0,0,1,1,0,0,3,-2,1350,160,54,D,2023-10-10,Erik Karlsson,PIT,CHI,1990-05-31,ID8474578,12185,0,0,0,0,0,0,0,0,,,,,,0
1147,2,0,1,0,0,0,0,,0,0,3,1,0,0,1,2,605,291,251,RW,2023-10-10,Mark Stone,VGK,SEA,1992-05-13,ID8475913,11472,0,0,0,0,0,0,0,0,,,,,,0
969,0,0,0,1,0,0,2,,0,0,1,1,0,0,1,0,729,0,240,D,2023-10-10,Brayden Pachal,VGK,SEA,1999-08-23,ID8481167,8814,0,0,0,0,0,0,0,0,,,,,,0
939,0,1,3,1,0,0,0,,0,0,0,1,0,0,1,0,707,232,0,C,2023-10-10,Ivan Barbashev,VGK,SEA,1995-12-14,ID8477964,10162,0,0,0,0,0,0,0,0,,,,,,0
912,0,0,1,1,0,0,0,55.56,5,9,0,2,0,0,1,1,507,189,216,C,2023-10-10,William Karlsson,VGK,SEA,1993-01-08,ID8476448,11232,0,0,0,0,0,0,0,0,,,,,,0
1131,1,0,0,3,0,0,0,,0,0,0,0,0,0,3,3,786,0,345,D,2023-10-10,Brayden McNabb,VGK,SEA,1991-01-21,ID8475188,11950,0,0,0,0,0,0,0,0,,,,,,0
681,0,0,2,0,0,0,0,,0,0,0,1,0,0,0,0,635,0,46,RW,2023-10-10,Keegan Kolesar,VGK,SEA,1997-04-08,ID8478434,9681,0,0,0,0,0,0,0,0,,,,,,0
3600,0,0,33,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,G,2023-10-10,Adin Hill,VGK,SEA,1996-05-11,ID8478499,10013,0,32,10,0,22,0,23,10,W,96.96969696969697,100.0,,95.65217391304348,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Jakub Demek,VGK,SEA,2003-06-06,ID8482933,7431,0,0,0,0,0,0,0,0,,,,,,0
659,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,602,57,0,RW,2023-10-10,Michael Amadio,VGK,SEA,1996-05-13,ID8478020,10011,0,0,0,0,0,0,0,0,,,,,,0
1560,0,0,3,0,0,0,0,,0,0,2,1,0,0,2,0,982,180,398,D,2023-10-10,Alex Pietrangelo,VGK,SEA,1990-01-18,ID8474565,12318,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Kaedan Korczak,VGK,SEA,2001-01-29,ID8481527,8289,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Pavel Dorofeyev,VGK,SEA,2000-10-26,ID8481604,8384,0,0,0,0,0,0,0,0,,,,,,0
309,0,0,3,1,0,0,2,,0,0,0,0,0,0,0,0,309,0,0,LW,2023-10-10,William Carrier,VGK,SEA,1994-12-20,ID8477478,10521,0,0,0,0,0,0,0,0,,,,,,0
1046,0,0,2,0,0,0,0,46.15,6,13,4,1,0,0,1,0,718,131,197,C,2023-10-10,Nicolas Roy,VGK,SEA,1997-02-05,ID8478462,9743,0,0,0,0,0,0,0,0,,,,,,0
1285,0,0,1,1,0,0,0,,0,0,0,1,0,0,2,0,956,7,322,D,2023-10-10,Nicolas Hague,VGK,SEA,1998-12-05,ID8479980,9075,0,0,0,0,0,0,0,0,,,,,,0
717,1,0,1,0,0,0,15,100.0,1,1,0,0,0,0,0,1,594,0,123,C,2023-10-10,Brett Howden,VGK,SEA,1998-03-29,ID8479353,9326,0,0,0,0,0,0,0,0,,,,,,0
1193,0,1,3,0,0,0,0,61.54,8,13,1,3,0,0,3,1,658,285,250,C,2023-10-10,Jack Eichel,VGK,SEA,1996-10-28,ID8478403,9843,0,0,0,0,0,0,0,0,,,,,,0
1092,0,0,0,2,0,0,0,,0,0,1,1,0,0,2,2,769,307,16,D,2023-10-10,Shea Theodore,VGK,SEA,1995-08-03,ID8477447,10295,0,0,0,0,0,0,0,0,,,,,,0
1134,0,1,5,0,0,0,0,,0,0,3,1,0,0,0,-1,931,74,129,RW,2023-10-10,Bryan Rust,PIT,CHI,1992-05-11,ID8475810,11474,0,0,0,0,0,0,0,0,,,,,,0
1161,1,0,4,2,0,0,0,,0,0,0,0,0,0,1,-2,998,163,0,LW,2023-10-10,Jake Guentzel,PIT,CHI,1994-10-06,ID8477404,10596,0,0,0,0,0,0,0,0,,,,,,0
724,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,-1,635,89,0,LW,2023-10-10,Conor Sheary,TBL,NSH,1992-06-08,ID8477839,11446,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Haydn Fleury,TBL,NSH,1996-07-08,ID8477938,9955,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Alex Barré-Boulet,TBL,NSH,1997-05-21,ID8479718,9638,0,0,0,0,0,0,0,0,,,,,,0
972,1,2,3,0,2,0,0,27.27,3,11,1,2,0,0,1,1,531,390,51,LW,2023-10-10,Nicholas Paul,TBL,NSH,1995-03-20,ID8477426,10431,0,0,0,0,0,0,0,0,,,,,,0
1160,0,0,2,6,0,0,0,,0,0,0,0,0,0,1,0,884,0,276,D,2023-10-10,Erik Cernak,TBL,NSH,1997-05-28,ID8478416,9631,0,0,0,0,0,0,0,0,,,,,,0
841,0,0,1,1,0,0,0,69.23,9,13,0,0,0,0,2,0,634,0,207,C,2023-10-10,Luke Glendening,TBL,NSH,1989-04-28,ID8476822,12583,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Austin Watson,TBL,NSH,1992-01-13,ID8475766,11593,0,0,0,0,0,0,0,0,,,,,,0
821,0,0,0,2,0,0,0,,0,0,0,0,0,0,1,0,649,0,172,D,2023-10-10,Calvin de Haan,TBL,NSH,1991-05-09,ID8475177,11842,0,0,0,0,0,0,0,0,,,,,,0
1279,0,2,5,1,0,0,2,,0,0,1,2,0,0,0,1,872,407,0,RW,2023-10-10,Nikita Kucherov,TBL,NSH,1993-06-17,ID8476453,11072,0,0,0,0,0,0,0,0,,,,,,0
630,0,0,2,5,0,0,0,71.43,5,7,1,0,0,0,2,0,406,0,224,C,2023-10-10,Noel Acciari,PIT,CHI,1991-12-01,ID8478569,11636,0,0,0,0,0,0,0,0,,,,,,0
1223,1,0,2,2,0,1,2,70.59,12,17,0,0,0,0,0,0,818,402,3,C,2023-10-10,Steven Stamkos,TBL,NSH,1990-02-07,ID8474564,12298,0,0,0,0,0,0,0,0,,,,,,0
1087,0,1,4,0,0,0,0,100.0,1,1,0,0,0,0,1,0,769,94,224,LW,2023-10-10,Brandon Hagel,TBL,NSH,1998-08-27,ID8479542,9175,0,0,0,0,0,0,0,0,,,,,,0
1380,1,0,2,0,0,1,2,,0,0,1,0,0,0,2,1,1056,110,214,D,2023-10-10,Mikhail Sergachev,TBL,NSH,1998-06-25,ID8479410,9238,0,0,0,0,0,0,0,0,,,,,,0
1615,1,0,4,0,0,0,0,,0,0,0,1,0,0,1,-1,981,386,248,D,2023-10-10,Victor Hedman,TBL,NSH,1990-12-18,ID8475167,11984,0,0,0,0,0,0,0,0,,,,,,0
3600,0,0,31,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,G,2023-10-10,Jonas Johansson,TBL,NSH,1995-09-19,ID8477992,10248,0,28,6,1,21,1,23,7,W,90.32258064516128,85.71428571428571,100.0,91.30434782608695,0
1108,0,1,4,0,0,0,0,62.5,15,24,0,0,0,0,1,-2,942,166,0,C,2023-10-10,Sidney Crosby,PIT,CHI,1987-08-07,ID8471675,13213,0,0,0,0,0,0,0,0,,,,,,0
1300,1,0,2,1,0,0,0,,0,0,0,1,0,0,0,1,1123,0,177,D,2023-10-10,Marcus Pettersson,PIT,CHI,1996-05-08,ID8477969,10016,0,0,0,0,0,0,0,0,,,,,,0
708,0,0,1,2,0,0,0,0.0,0,1,1,1,0,0,0,0,606,102,0,LW,2023-10-10,Tanner Jeannot,TBL,NSH,1997-05-29,ID8479661,9630,0,0,0,0,0,0,0,0,,,,,,0
614,0,0,1,0,0,0,2,33.33,1,3,0,0,0,0,0,0,484,77,53,C,2023-10-10,Jeff Carter,PIT,CHI,1985-01-01,ID8470604,14161,0,0,0,0,0,0,0,0,,,,,,0
702,0,0,1,0,0,0,2,,0,0,0,2,0,0,1,-1,702,0,0,D,2023-10-10,Nick Perbix,TBL,NSH,1998-06-15,ID8480246,9248,0,0,0,0,0,0,0,0,,,,,,0
782,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,-1,646,0,136,LW,2023-10-10,Drew O'Connor,PIT,CHI,1998-06-09,ID8482055,9254,0,0,0,0,0,0,0,0,,,,,,0
1333,3,0,3,0,0,2,0,0.0,0,2,0,0,0,0,1,1,921,408,4,C,2023-10-10,Brayden Point,TBL,NSH,1996-03-13,ID8478010,10072,0,0,0,0,0,0,0,0,,,,,,0
